id;account_code;account_label;account_label_ar;account_type;active;company_id
1;rectangulaire hors d;quasi sauf;gestionnaire sans que;super boire;false;1
2;animer pour que deva;tant trop;foule a en decà de;quitte à que;true;2
3;tellement ha;à l'exception de;asseoir euh;rafraîchir;false;3
4;charitable;découvrir parce que en dépit de;juriste;dessous pschitt;false;4
5;craindre tant ici;triompher apparemment grrr;entre;reparaître aussitôt que comme;true;5
6;lâche gens forcer;vétuste;au moyen de meuh;en;true;6
7;drelin;assister;tant que déjà apparemment;au moyen de quoique;true;7
8;apprécier fêter;ouch trop;timide smack;davantage chef de cuisine;true;8
9;police;ensuite à travers;oh équipe areu areu;formuler;false;9
10;insipide aigre parmi;hi;adversaire terne novice;pourpre;true;10
