id;entry_date;journal_ref;entry_type;description;debit_account;credit_account;amount;exported_at;export_format;export_ref;company_id
1;2026-03-30;à partir de tsoin-tsoin broum;SALARY_PAYABLE;incalculable apparemment craindre;rester gâcher;combattre sitôt que ;23824.29;2026-03-31T11:02:33;ouah altruiste;conseil municipal;1
2;2026-03-30;trop peu tic-tac sitôt que;TAX_PAYABLE;perfectionner;délégation dehors;main-d’œuvre miaou m;16588.22;2026-03-30T21:56:43;tellement areu areu;de façon à ce que souple vlan;2
3;2026-03-30;hôte grâce à trop;BANK_TRANSFER;où vlan;infime;cyan puis;24198.75;2026-03-30T20:02:16;téméraire membre à vie autour;dévoiler;3
4;2026-03-31;mépriser;CNSS_EXPENSE;dès que aussitôt que;applaudir;multiple plouf;22813.21;2026-03-31T04:32:46;au cas où;administration;4
5;2026-03-31;sitôt que avant membre à vie;CNSS_PAYABLE;dessus adversaire;en outre de;vanter aïe environ;9742.87;2026-03-30T21:32:36;de crainte que;jusqu’à ce que;5
6;2026-03-31;très étouffer diététiste;SALARY_PAYABLE;ding avant;extra insolite tranq;pas mal;7982.35;2026-03-31T16:03:05;snif police secouriste;si bien que;6
7;2026-03-31;du moment que;BANK_TRANSFER;séculaire triathlète pointer;diminuer;ouch;20379.93;2026-03-31T16:06:27;louer du fait que soulager;tellement à cause de téméraire;7
8;2026-03-31;espiègle;SALARY_PAYABLE;transformer pendant que;pendant que;broum splendide;3768.99;2026-03-31T18:01:03;affable;quitte à triathlète;8
9;2026-03-31;calme actionnaire d'après;CNSS_EXPENSE;ranimer gai avant que;vu que cocorico;capter;25086.49;2026-03-31T06:01:31;euh;dense débile;9
10;2026-03-31;personnel professionnel malade sous;CNSS_PAYABLE;vroum;probablement;ressembler;30719;2026-03-31T02:35:23;absolument;même si;10
