id;request_date;amount;deduction_month;deduction_year;status;approved_by;notes;employee_id
1;2026-03-31;21790.83;2;15953;APPROVED;du moment que nourrir à l'égard de;probablement afin que;1
2;2026-03-31;17844.79;11;7446;APPROVED;redevenir apercevoir prévenir;gestionnaire de sorte que;2
3;2026-03-31;28935.97;1;23004;DEDUCTED;jusqu’à ce que de peur que au-dessous;lire restituer;3
4;2026-03-31;27716.76;6;13067;REQUESTED;après que si;aigre partout bien;4
5;2026-03-31;7659.73;3;18619;REQUESTED;magnifique diététiste dring;suivant conseil d’administration;5
6;2026-03-31;30877.7;4;670;DEDUCTED;de manière à ce que guide pendant;euh chef de cuisine;6
7;2026-03-30;7716.7;7;8718;REQUESTED;clac géométrique tant que;ouf pallier snif;7
8;2026-03-31;19600.15;7;29313;DEDUCTED;amorphe;police solitaire;8
9;2026-03-30;21151.92;12;14853;REQUESTED;paf alors que;pouvoir;9
10;2026-03-31;4130.71;4;32380;APPROVED;touriste tomber;ha psitt;10
