id;year;salary_ceiling;employee_rate;employer_rate;cavis_employee;cavis_employer;smig;effective_from
1;30368;31153.32;22665.69;31793.04;6425.17;31234.57;31864.62;2026-03-31
2;23220;4897.96;21373.74;7547.46;24645.09;6999.35;11618.53;2026-03-31
3;5320;6239.09;22173.09;1504.71;32076.79;8193.07;28478.21;2026-03-31
4;4191;19742.88;30443.72;5641.58;5411.01;1761;28975.82;2026-03-31
5;9056;20104.65;4822;26366.6;28762.59;11842.4;1169.3;2026-03-30
6;3711;20332.59;19177.67;24684.26;26520.54;22445.82;28145.01;2026-03-30
7;16605;14777.91;31909.12;6141.29;9134.56;5005.92;31080.47;2026-03-31
8;11342;32340.97;13496.05;31960.78;30871.75;26912.51;5224.27;2026-03-31
9;4868;10315.31;31016.97;26512.91;4237.97;695.94;19736.67;2026-03-31
10;5980;8165.31;13444.94;19040.24;22637.89;22903.56;23869.47;2026-03-30
