id;name;trade_name;tax_id;cnss_id;address;city;postal_code;phone;email;logo_url;tenant_schema;active;trial_end;created_at
1;maîtriser;dans super;adopter gestionnaire;mairie pendant que d;mener proche de;Cergy;pourvu que;0646158493;Ambroisie11@gmail.com;grâce à;par suite de juriste lutter;false;2026-03-31;2026-03-31T11:17:29
2;en admirablement à cause de;d'entre grâce à de façon à ce que;broum;commis hôte miam;d’autant que;Le Tampon;d'avec au-;0555639476;Chloe78@gmail.com;police meuh;brusque grâce à;true;2026-03-30;2026-03-30T19:04:17
3;dense oups à l'insu de;demain clac;ferme;sous là-haut dans;dès que;Cayenne;pénétrer t;+33 778146067;Amande_Breton72@hotmail.fr;débile;partenaire;false;2026-03-30;2026-03-31T08:45:22
4;sédentaire vu que;sitôt que antagoniste traîner;en bas de avant fonc;vroum de crainte que;d'entre cyan;Vénissieux;sitôt que ;+33 730832604;Brieuc0@yahoo.fr;debout chef quand;tisser direction pauvre;true;2026-03-31;2026-03-30T22:04:46
5;autrement;hôte;enfermer;de façon que;lorsque aux alentours de svelte;Aulnay-sous-Bois;énorme for;+33 766373790;Amiel0@yahoo.fr;étant donné que croire secouriste;prestataire de services blême biathlète;false;2026-03-31;2026-03-30T18:10:33
6;envers;esquisser;depuis gai;jeune;rencontrer percevoir;Angers;direction;0146279766;Rita60@gmail.com;ensuite;contourner quitte à;false;2026-03-31;2026-03-31T03:33:04
7;collègue miaou coupable;sous couleur de a pour que;efficace neutre comm;de façon à impromptu;communauté étudiante;Fort-de-France;quoique di;+33 159842661;Alberte_Renault66@yahoo.fr;large selon plier;entre;false;2026-03-31;2026-03-30T18:23:24
8;chut environ;commis depuis drelin;très souple présiden;sus exprès toc;psitt;Lille;antique au;0280330375;Arian38@gmail.com;briller diététiste;grrr;false;2026-03-31;2026-03-30T22:23:54
9;y agréable;finir pas mal aïe;contrôler;oups;entre-temps magenta;Marseille;au cas où ;0653023215;Tiphaine_Meyer53@hotmail.fr;pendant que signer détruire;gens un peu;false;2026-03-31;2026-03-31T12:44:34
10;orange tranquille;porte-parole engendrer cocorico;équipe hé vlan;plic même si éclairc;apprivoiser;Les Abymes;horrible t;0757966015;Alice_Petit@hotmail.fr;que rédaction;continuer ressortir;true;2026-03-31;2026-03-31T00:40:06
