id;plan;status;max_employees;price_ht;billing_day;start_date;end_date;renewal_date;notes
1;ENTERPRISE;CANCELLED;4789;11704.29;8470;2026-03-30;2026-03-31;2026-03-31;prévaloir
2;PME;SUSPENDED;1668;30630.97;4056;2026-03-31;2026-03-30;2026-03-31;sauvage commis
3;BUSINESS;CANCELLED;29989;24320.04;2881;2026-03-31;2026-03-31;2026-03-30;embrasser toc-toc
4;PME;CANCELLED;27250;20575.09;15153;2026-03-31;2026-03-30;2026-03-31;dynamique autrement
5;CUSTOM;TRIAL;28377;20687.2;22356;2026-03-30;2026-03-31;2026-03-30;membre à vie
6;CUSTOM;TRIAL;28470;21666.08;8117;2026-03-31;2026-03-31;2026-03-31;athlète fidèle flotter
7;PME;SUSPENDED;5096;6651.33;30502;2026-03-31;2026-03-31;2026-03-31;sale téméraire tâcher
8;CUSTOM;SUSPENDED;21602;28458.44;17941;2026-03-30;2026-03-30;2026-03-31;rentrer
9;ENTERPRISE;SUSPENDED;27895;15745.55;4797;2026-03-31;2026-03-31;2026-03-31;orange
10;PME;ACTIVE;26925;25030.48;32531;2026-03-30;2026-03-31;2026-03-30;hors de cependant
