id;code;name;description;active;company_id
1;neutre du moment que;du fait que atchoum si bien que;complètement commis de cuisine;true;1
2;oups pleurer;outre;du fait que;false;2
3;jadis;arrêter orange cadre;tellement pourvu que d'abord;true;3
4;souvent si;a géométrique pointer;biathlète souple venger;true;4
5;secouriste complètem;espiègle;autant;true;5
6;pointer réussir;efficace;beaucoup avex;true;6
7;propre diablement;rudement vaste dénoncer;personnel professionnel;false;7
8;bien que tard;proche de;lunatique membre titulaire croâ;true;8
9;compléter membre à v;dès que de sorte que;broum;true;9
10;hormis de peur que;là badaboum;gens;true;10
11;dans la mesure où as;membre titulaire;émouvoir au cas où chef;true;11
12;antique autrefois;beaucoup pour que;extatique;true;12
13;jusque bè vroum;ouch enfoncer prestataire de services;lectorat apparemment infime;false;13
14;afin que efficace av;verser auprès de chef;délégation équipe de recherche;false;14
15;responsable mesurer;assez;sauvage du côté de;true;15
16;près croâ;d’autant que tic-tac;séculaire moins;true;16
17;délégation;assez quitte à;que;false;17
18;totalement conseil d;presque hypocrite debout;zzzz;true;18
19;aigre;commissionnaire boum;auprès de quand ? à raison de;true;19
20;tranquille à la merc;sans que;à partir de responsable;true;20
21;commander;sauf enfin;serviable transformer drelin;false;21
22;pourvu que;séparer secouer;tôt souffler direction;false;22
23;triangulaire plouf;multiple étouffer;renseigner;true;23
24;mouiller différer;snif commissionnaire longtemps;célébrer par suite de intrépide;false;24
25;camper meuh;si corps enseignant raide;badaboum administrer ouch;true;25
26;assez;ouah;en face de;true;26
27;adversaire;sus cocorico rose;quant à trembler sous;false;27
28;sous couleur de;tant biathlète;au prix de quelque;true;28
29;rédaction aussitôt q;assez partenaire;premièrement attaquer approximativement;false;29
30;dès que;collègue respecter vu que;quasi;true;30
