id;code;title;description;min_salary;max_salary;active;company_id
1;commis glouglou;jurer;chut police;18881.64;17022.1;false;1
2;selon;cyan;à demi juriste main-d’œuvre;20045.02;17250.82;false;2
3;corps enseignant tra;alors que recourir;électorat;8599.06;7005.43;false;3
4;tsoin-tsoin;chut vétuste;snif;22749.75;29596.8;true;4
5;cocorico mériter;aïe;allonger tic-tac entre;24117.56;31024.36;true;5
6;contester absolument;placide touriste;magenta;11805.91;6091.19;true;6
7;de par que;tendre ouf tandis que;marron jadis rose;9105.21;2580.16;false;7
8;auprès de disparaîtr;coucher ferme contre;bzzz juriste;8316.82;27102.09;true;8
9;lentement à demi;vétuste croâ;dring durant;18027.76;31143.77;true;9
10;mince fourbe;areu areu;puisque;2385.51;11160.49;false;10
11;areu areu de crainte;au cas où;commis de cuisine diététiste;26784.4;8353.85;true;11
12;plouf;parfois;aigre là-haut nonobstant;17617.61;20762.59;false;12
13;comparer;sympathique pff glouglou;fêter alentour meuh;4961.28;16436.66;false;13
14;hausser;au-dessus en faveur de pêcher;oui capter où;16845.52;7630.4;false;14
15;splendide tranquille;passablement;ding;31049.04;10349.46;true;15
16;direction via;coupable;consommer;13676.16;14522.32;false;16
17;combien;comme par rapport à;à condition que ouah autrefois;29527.64;32753.51;true;17
18;conduire cracher ora;mature expédier souple;trop en guise de ding;12974.96;2316.15;false;18
19;devant ah fade;reprocher lâche trop;lentement secours même si;3677.24;25022.72;false;19
20;sous couleur de clie;sus raide;consulter;20717.7;1132.78;false;20
21;assez placide selon;précisément trop;afin de rectorat hormis;3819.44;2596.43;false;21
22;contre de par;tellement comparer là;maigre chef;13911.55;18509.03;false;22
23;de manière à ce que ;lorsque;super;8273.69;15941.31;false;23
24;coac coac près de de;présidence;accéder;17205.84;17100.91;true;24
25;derrière multiplier;loufoque;vouh au dépens de;19738.35;31655.94;false;25
26;afin de reconstituer;accrocher alors;près chef;21147.85;8460.82;true;26
27;jeune enfant derrièr;au cas où à moins de ding;absolument;28502.65;22568.64;false;27
28;naguère affable;aigre coin-coin aussitôt que;juger séduire;27793.26;7588.81;false;28
29;sur puis;avant que;d’autant que;10246.4;14957.78;false;29
30;adepte;que;cocher aussitôt que;15115.44;3429.07;true;30
