id;title;category;content;file_url;vector_indexed;indexed_at;active;created_at;company_id
1;coac coac;tant que interdire;../fake-data/blob/hipster.txt;actionnaire passablement;false;2026-04-07T22:03:07;true;2026-04-08T04:41:39;1
2;coac coac quoique agréable;à l'instar de terne;../fake-data/blob/hipster.txt;cot cot derrière;false;2026-04-08T07:06:11;false;2026-04-08T15:12:46;2
3;hi calme;aimable mairie;../fake-data/blob/hipster.txt;coller électorat;false;2026-04-07T20:10:56;true;2026-04-08T05:10:58;3
4;dans la mesure où croâ;tailler aussitôt que;../fake-data/blob/hipster.txt;adepte;false;2026-04-07T20:54:18;false;2026-04-08T02:32:02;4
5;vis-à-vie de tantôt;jadis avant spécialiste;../fake-data/blob/hipster.txt;sincère membre à vie devant;false;2026-04-07T21:17:01;true;2026-04-08T11:15:18;5
6;à condition que;membre à vie atténuer;../fake-data/blob/hipster.txt;à cause de trop;true;2026-04-08T06:56:38;true;2026-04-08T17:21:58;6
7;jeune enfant;au dépens de évacuer;../fake-data/blob/hipster.txt;à demi orienter beaucoup;true;2026-04-08T03:28:22;true;2026-04-08T13:15:16;7
8;assez fort;tellement raide;../fake-data/blob/hipster.txt;outre à condition que croâ;false;2026-04-08T06:39:29;false;2026-04-08T03:38:22;8
9;main-d’œuvre;serviable plouf jeune;../fake-data/blob/hipster.txt;bien que commissionnaire alors que;true;2026-04-08T04:36:52;true;2026-04-08T05:02:35;9
10;direction ailleurs bien;sédentaire;../fake-data/blob/hipster.txt;pour que rectorat;true;2026-04-08T16:53:07;false;2026-04-08T11:52:41;10
11;membre à vie parmi brusque;ah ailleurs lorsque;../fake-data/blob/hipster.txt;tic-tac antique;true;2026-04-07T19:29:34;false;2026-04-08T10:39:18;11
12;de crainte que quelquefois;patientèle outre;../fake-data/blob/hipster.txt;svelte;false;2026-04-08T05:33:19;true;2026-04-08T06:57:31;12
13;géométrique d'entre;fleurir;../fake-data/blob/hipster.txt;aussitôt que;true;2026-04-08T16:03:44;false;2026-04-07T22:25:56;13
14;exprès du fait que aussitôt que;parlementaire fonctionnaire altruiste;../fake-data/blob/hipster.txt;comprendre;true;2026-04-08T15:21:02;false;2026-04-07T18:56:03;14
15;à raison de hisser ensuite;vouh touriste;../fake-data/blob/hipster.txt;employer;true;2026-04-08T07:57:03;true;2026-04-08T16:34:17;15
16;mélancolique à cause de parce que;insipide ouin concurrence;../fake-data/blob/hipster.txt;vérifier;true;2026-04-07T23:42:52;false;2026-04-07T19:08:36;16
17;personnel;recta tandis que;../fake-data/blob/hipster.txt;euh;false;2026-04-07T22:25:50;true;2026-04-08T05:14:56;17
18;coin-coin;même si vis-à-vie de;../fake-data/blob/hipster.txt;oh défendre;false;2026-04-08T04:27:34;true;2026-04-08T07:15:00;18
19;si;comment;../fake-data/blob/hipster.txt;plouf plic désirer;true;2026-04-08T01:32:40;true;2026-04-08T11:35:53;19
20;quand dégager actionnaire;propre;../fake-data/blob/hipster.txt;si;false;2026-04-08T16:50:45;true;2026-04-07T23:15:44;20
21;ouille;quoique;../fake-data/blob/hipster.txt;concernant proche de équipe;true;2026-04-07T20:07:24;false;2026-04-08T12:40:10;21
22;afin que conseil d’administration;répéter trembler;../fake-data/blob/hipster.txt;au défaut de;true;2026-04-08T02:41:52;true;2026-04-07T23:03:37;22
23;du moment que;cocorico;../fake-data/blob/hipster.txt;malade jusque;false;2026-04-08T12:47:54;true;2026-04-08T07:23:45;23
24;vétuste;sans à condition que;../fake-data/blob/hipster.txt;lectorat tandis que;true;2026-04-08T13:37:02;true;2026-04-08T12:36:10;24
25;brave de manière à ce que;sur;../fake-data/blob/hipster.txt;soudain regrouper;true;2026-04-07T19:06:41;false;2026-04-08T04:53:17;25
26;déjeuner par patientèle;lâche dès;../fake-data/blob/hipster.txt;areu areu échanger;true;2026-04-08T17:05:27;false;2026-04-08T02:05:13;26
27;crier;même;../fake-data/blob/hipster.txt;smack;false;2026-04-08T07:22:06;true;2026-04-07T22:12:20;27
28;ouch;dans la mesure où autant téméraire;../fake-data/blob/hipster.txt;d'avec de crainte que;false;2026-04-08T15:30:38;true;2026-04-07T23:37:08;28
29;après gêner;insuffisamment;../fake-data/blob/hipster.txt;diablement touriste;false;2026-04-08T06:36:54;true;2026-04-08T09:34:37;29
30;espérer groin groin vorace;par rapport à rectangulaire;../fake-data/blob/hipster.txt;concurrence remettre;false;2026-04-08T11:18:04;false;2026-04-07T19:36:14;30
