id;year;entitled;taken;pending;carry_over;remaining;last_updated_at;employee_id;leave_type_id
1;30119;28685.11;1971.61;4342.63;18345.16;31646.1;2026-03-31T17:34:36;1;1
2;19717;31281.61;30140.72;30931.18;12972.26;11023.51;2026-03-31T12:29:00;2;2
3;23121;25410.45;16888.5;29028.43;11694.67;15007.83;2026-03-31T11:12:38;3;3
4;2429;6876.96;30220.52;11707.14;28459.24;6115.45;2026-03-31T13:20:33;4;4
5;18188;21041;32401.6;21464.96;25720.12;14055.8;2026-03-31T00:35:14;5;5
6;29337;545.24;11719.84;28650.79;15213.52;14881.76;2026-03-31T03:56:36;6;6
7;16354;11160;22592.16;28867.09;23510.7;24192.41;2026-03-31T09:00:11;7;7
8;11231;32036.97;7618.02;5409.06;509.62;915.59;2026-03-31T08:28:52;8;8
9;23165;6632.18;1076.67;14089.86;24284.4;7325.14;2026-03-31T09:33:30;9;9
10;28982;2446.84;25319.96;23385.13;21849.69;31182.97;2026-03-30T18:30:48;10;10
