id;start_date;end_date;number_of_days;status;requested_at;processed_at;manager_comment;employee_comment;document_url;employee_id;leave_type_id
1;2026-03-31;2026-03-31;23610;APPROVED;2026-03-31T09:06:17;2026-03-31T01:50:14;pin-pon débile;cueillir;blême là-haut chut;1;1
2;2026-03-31;2026-03-31;15155;REJECTED;2026-03-31T14:16:10;2026-03-31T03:02:11;pour que subito;sage dès en outre de;jurer puisque hormis;2;2
3;2026-03-31;2026-03-31;28435;APPROVED;2026-03-30T23:50:34;2026-03-31T08:50:59;selon;si profiter;suffisamment pour que à peu près;3;3
4;2026-03-31;2026-03-31;30206;CANCELLED;2026-03-31T08:19:55;2026-03-30T18:46:41;circulaire délégation ha ha;neutre arrière;gratis de foule;4;4
5;2026-03-31;2026-03-31;19390;DRAFT;2026-03-31T15:42:33;2026-03-30T21:20:32;carrément administration crac;chut hirsute;former ailleurs hors de;5;5
6;2026-03-31;2026-03-31;6646;REJECTED;2026-03-31T03:16:39;2026-03-30T19:44:01;drelin fonder;au point que camarade contraindre;déjà antique lorsque;6;6
7;2026-03-31;2026-03-31;1965;APPROVED;2026-03-31T08:37:39;2026-03-31T15:04:12;éveiller découper tsoin-tsoin;zzzz arrière sur;divinement athlète;7;7
8;2026-03-31;2026-03-31;7890;CANCELLED;2026-03-30T19:06:46;2026-03-31T04:33:42;commettre par;au cas où raide avertir;essayer;8;8
9;2026-03-31;2026-03-30;23177;DRAFT;2026-03-31T02:34:51;2026-03-30T20:12:33;de peur que commis soulager;méditer échapper;assez;9;9
10;2026-03-30;2026-03-30;19058;PENDING;2026-03-30T20:55:48;2026-03-31T18:00:37;entre avant-hier clientèle;deçà pour sombre;au-dessous atchoum;10;10
