id;name;label;max_days_per_year;carry_over_days;paid;requires_medical;active;company_id
1;UNPAID;quand;4841;28990;true;true;true;1
2;UNPAID;bzzz autour de gratis;7411;23744;false;false;false;2
3;UNPAID;tant que svelte oups;29087;15193;false;true;false;3
4;EXCEPTIONAL;raide;10342;4990;false;false;false;4
5;EXCEPTIONAL;euh triangulaire proche de;2939;14541;true;false;false;5
6;MATERNITY;tandis que prestataire de services même;11239;4828;true;false;true;6
7;ANNUAL;à l'instar de tirer;3643;21014;false;false;true;7
8;MATERNITY;ouah sous couleur de;12125;10566;false;false;false;8
9;UNPAID;contre neutre;9845;9167;false;false;false;9
10;PATERNITY;tant que ferme;27890;31349;false;true;false;10
