id;doc_type;title;month;year;generated_at;file_url;signed_by;sent_at;notes;company_id
1;EMPLOYER_DECLARATION;affable concurrence;3;29454;2026-04-08T07:20:19;dispenser;de façon que de façon à ce que;2026-04-08T12:44:15;apprécier énorme circulaire;1
2;CNSS_DECLARATION;dense snif;5;24555;2026-04-07T21:50:19;contre environ splendide;svelte;2026-04-07T21:45:03;jusqu’à ce que à peine secouriste;2
3;SALARY_ATTESTATION;toc déjà révéler;9;21688;2026-04-08T09:37:17;réchauffer en plus de;au point que;2026-04-08T14:27:16;moyennant gestionnaire oups;3
4;CNSS_DECLARATION;offrir hésiter;3;12273;2026-04-08T16:19:30;comme à travers;clac commis de cuisine;2026-04-08T11:59:03;triste proclamer de façon à ce que;4
5;SALARY_ATTESTATION;comme;5;30383;2026-04-07T20:28:16;à défaut de délectable à la merci;recruter;2026-04-08T17:10:22;avaler fonctionnaire;5
6;SALARY_ATTESTATION;avant;10;17268;2026-04-08T05:44:37;tant plouf;absolument avant que;2026-04-08T09:29:07;noyer;6
7;SALARY_ATTESTATION;bzzz;3;13473;2026-04-08T17:28:13;loufoque;simple dorénavant rose;2026-04-08T17:19:02;boum vroum;7
8;CAVIS_DECLARATION;frémir;10;31376;2026-04-08T08:21:26;ainsi pauvre;terriblement adepte smack;2026-04-08T06:24:05;arracher abîmer;8
9;IRPP_WITHHOLDING;modifier de façon à de par;5;25387;2026-04-07T22:03:18;vraisemblablement;de façon que;2026-04-07T23:54:05;coac coac;9
10;SALARY_ATTESTATION;super;1;18860;2026-04-07T20:49:10;refermer;juriste;2026-04-08T05:41:50;avare sus depuis;10
11;SALARY_ATTESTATION;avex;5;30103;2026-04-08T09:21:47;touriste sombre;peut-être ronron pin-pon;2026-04-07T20:24:28;accéder dès;11
12;CAVIS_DECLARATION;toc pourvu que ci;5;3630;2026-04-08T15:59:23;dorénavant organiser;dépendre;2026-04-07T22:05:27;si sauf à;12
13;EMPLOYER_DECLARATION;au-dessous;8;7801;2026-04-07T22:24:08;au-dehors;population du Québec magenta;2026-04-08T13:17:28;après que personnel professionnel;13
14;WORK_CERTIFICATE;clac cadre;2;23606;2026-04-08T05:18:35;quant à oups partenaire;hé;2026-04-08T07:42:32;crier peut-être;14
15;SALARY_ATTESTATION;esquisser;5;13649;2026-04-08T16:15:44;de façon que pleuvoir;à la faveur de hier suivant;2026-04-08T01:26:37;de crainte que du moment que dessus;15
16;CAVIS_DECLARATION;puisque ici neutre;7;9030;2026-04-08T03:36:13;pas mal après-demain au cas où;au-dessus;2026-04-07T20:19:20;subito proposer charitable;16
17;CNSS_DECLARATION;renvoyer;3;3563;2026-04-07T20:23:23;prestataire de services sombre;envers;2026-04-08T12:41:10;pschitt équipe de recherche;17
18;SALARY_ATTESTATION;fonctionnaire à l'exception de chef de cuisine;7;13114;2026-04-08T17:38:21;obéir;quitte à;2026-04-07T22:39:42;coac coac;18
19;EMPLOYER_DECLARATION;bzzz prestataire de services;11;31932;2026-04-08T02:52:30;aggraver tant que;entièrement;2026-04-08T08:20:59;trop areu areu;19
20;WORK_CERTIFICATE;dring;7;11718;2026-04-07T19:46:43;sans que;de peur de communauté étudiante;2026-04-08T15:41:19;si smack devant;20
21;WORK_CERTIFICATE;bang chef;3;23973;2026-04-08T14:14:20;corps enseignant;mairie environ;2026-04-08T17:54:05;après que jeune;21
22;WORK_CERTIFICATE;tandis que en dedans de aïe;12;5142;2026-04-08T01:19:52;de sorte que si bien que;condamner quitte à à l'entour de;2026-04-08T13:38:03;exprès quitte à antagoniste;22
23;SALARY_ATTESTATION;pschitt;7;9836;2026-04-08T10:06:27;lors de près au-dessous de;vroum suffisamment enfin;2026-04-07T19:03:35;tant que triangulaire à partir de;23
24;EMPLOYER_DECLARATION;consoler jeune ensuite;7;21773;2026-04-08T00:37:25;dès que croâ;consulter zzzz si bien que;2026-04-08T00:16:46;smack écarter membre du personnel;24
25;CAVIS_DECLARATION;responsable souple meuh;11;10534;2026-04-08T09:55:43;jeune enfant sitôt que;étouffer espérer;2026-04-08T07:58:36;inspirer;25
26;CAVIS_DECLARATION;de façon à ce que clac;5;15486;2026-04-08T10:18:58;tchou tchouu tellement;oh tranquille;2026-04-08T03:14:40;tolérer fade dans;26
27;CNSS_DECLARATION;extra;3;32111;2026-04-08T00:07:16;tomber vorace assimiler;hors de pourpre joliment;2026-04-08T15:10:48;trop peu sitôt que;27
28;CAVIS_DECLARATION;du moment que;10;1485;2026-04-08T12:14:44;ronron tôt;vers accrocher;2026-04-08T08:17:01;vroum sitôt que;28
29;WORK_CERTIFICATE;certes manier pour que;10;13781;2026-04-08T15:34:48;pschitt au cas où puisque;vu que proche;2026-04-08T10:38:22;chez;29
30;CNSS_DECLARATION;avant que;6;7399;2026-04-08T01:54:02;vraiment;euh aimable hypocrite;2026-04-08T02:23:21;pendant que rattacher du moment que;30
