id;month;year;base_salary;total_gains;total_deductions;gross_salary;cnss_salary_amount;cavis_amount;taxable_income;irpp_amount;net_salary;employer_cnss;employer_cavis;total_employer_cost;worked_days;paid_leave_days;unpaid_days;overtime_hours;status;pdf_url;generated_at;sent_to_employee_at;bank_transfer_ref;employee_id;payroll_period_id;contract_id
1;9;18959;28445.99;25668.65;29956.71;6983.94;3842.11;2340.99;12079.61;31386.07;2055.39;19479.07;31579.86;27663.16;16743;15774;12474;30635.57;EXPORTED;paf;2026-04-07T22:16:52;2026-04-08T05:46:14;coac coac jeune sous couleur de;1;1;1
2;2;12252;25953.38;17775.87;8603.96;21599.41;13744.62;22044.89;23317.96;30909.26;21254.11;26495.41;19812.74;17051.42;6699;9295;4754;15252.63;CALCULATED;charitable;2026-04-08T08:03:04;2026-04-07T23:49:35;de façon à ce que tout;2;2;2
3;3;2027;7917.77;1287.99;25822.55;5869.94;16173.83;30511.34;8111.52;25018.78;23627.22;6052.03;17384.93;25920.95;30103;14184;4847;30388.2;EXPORTED;prestataire de services;2026-04-08T15:40:47;2026-04-08T16:59:57;de manière à ce que;3;3;3
4;5;23476;20923.19;26777.22;20528.54;13851.96;25901.05;9140.32;10844.53;20186.74;8810.81;29235.07;29390.54;25340.57;10093;19398;3199;15411.72;DRAFT;terriblement avex;2026-04-08T02:55:57;2026-04-08T05:36:11;immense alors que au lieu de;4;4;4
5;2;15917;25251.63;27200.81;960.45;3245.66;5376.79;2912.64;14368.49;10078.02;7383.92;15861.43;2287.76;10627.72;11721;30745;251;15214.09;DRAFT;au cas où;2026-04-08T01:50:50;2026-04-07T22:48:19;par rapport à dans jusque;5;5;5
6;3;13469;22566.2;23606.24;4281.03;9496.74;8507.04;26109.72;9523.18;31499.93;28881.54;9566.05;9682.9;32655.54;13373;12686;28169;26953.7;EXPORTED;même si;2026-04-08T10:22:02;2026-04-08T07:24:08;loufoque commis de cuisine;6;6;6
7;2;30998;12290.01;19403.92;937.47;14184.32;22394.88;7589.61;9312.33;8535.44;31387.76;25356;7243.39;31201.64;8457;10584;13386;11665.09;LOCKED;effectuer après que;2026-04-08T11:10:01;2026-04-07T22:53:12;commissionnaire en dépit de;7;7;7
8;4;4186;17073.72;1561.27;11407.16;31355.51;3869.42;28431.31;12165.28;9780.47;6494.54;28596.53;28251.49;28339.29;26507;15746;31062;18683.12;DRAFT;ouille euh au défaut de;2026-04-07T23:00:32;2026-04-08T05:00:44;prout environ pour;8;8;8
9;7;7247;26131.73;21782.54;19716.56;450.07;19612.47;8986.29;18905.95;26411.84;6841.16;18450.44;31911.63;12581.9;4716;2873;14394;30530.58;LOCKED;écrire rectangulaire large;2026-04-07T21:36:30;2026-04-08T09:09:02;bûcher;9;9;9
10;7;24238;16408;7365.78;27306.96;1463.11;19546.3;15197.2;590.69;10070.91;3271.44;31596.37;18513.08;4129.35;4171;8798;9906;10457.26;DRAFT;apporter quasi;2026-04-08T05:34:59;2026-04-08T09:31:22;tout;10;10;10
11;5;6987;10352.33;8694.31;27824.04;2779.46;1750.34;7954.2;3091.75;2084.84;22124.75;30213.94;14.01;8061.28;9922;20834;21456;32660.73;DRAFT;extra à moins de;2026-04-08T13:59:46;2026-04-08T06:05:06;conseil d’administration bientôt;11;11;11
