id;month;year;status;calculated_at;validated_at;locked_at;notes;company_id
1;12;22318;VALIDATED;2026-03-31T11:55:55;2026-03-30T23:29:07;2026-03-31T12:57:31;../fake-data/blob/hipster.txt;1
2;3;125;CALCULATED;2026-03-31T04:29:54;2026-03-31T03:03:56;2026-03-31T11:52:28;../fake-data/blob/hipster.txt;2
3;1;5031;DRAFT;2026-03-31T02:08:41;2026-03-30T19:54:11;2026-03-30T20:43:09;../fake-data/blob/hipster.txt;3
4;9;10813;DRAFT;2026-03-31T15:38:25;2026-03-31T10:34:31;2026-03-31T14:07:37;../fake-data/blob/hipster.txt;4
5;4;9955;LOCKED;2026-03-30T19:53:55;2026-03-31T15:15:27;2026-03-31T17:00:02;../fake-data/blob/hipster.txt;5
6;6;31084;LOCKED;2026-03-31T16:38:37;2026-03-30T18:07:58;2026-03-31T11:25:49;../fake-data/blob/hipster.txt;6
7;2;12544;VALIDATED;2026-03-30T21:57:45;2026-03-31T17:06:05;2026-03-30T21:41:27;../fake-data/blob/hipster.txt;7
8;8;11120;VALIDATED;2026-03-31T05:16:07;2026-03-31T05:21:01;2026-03-31T07:11:38;../fake-data/blob/hipster.txt;8
9;5;31009;VALIDATED;2026-03-31T05:01:42;2026-03-31T16:27:20;2026-03-30T23:21:18;../fake-data/blob/hipster.txt;9
10;8;11227;EXPORTED;2026-03-30T20:38:58;2026-03-31T10:19:28;2026-03-31T08:09:41;../fake-data/blob/hipster.txt;10
