id;name;name_ar;holiday_date;year;is_recurring;active
1;conclure à l'exception de situer;magnifique ouille;2026-03-31;1797;false;false
2;après à l'entour de bè;cyan de façon à ce que;2026-03-31;1273;true;false
3;moderne quand;du moment que au point que;2026-03-31;25324;false;false
4;population du Québec hors de étant donné que;corps enseignant drelin toutefois;2026-03-30;18528;true;true
5;de peur que très à bas de;autant pour que à la merci;2026-03-31;28639;true;false
6;près suivant diététiste;zzzz marron de manière à;2026-03-31;25152;false;false
7;peut-être;après-demain en;2026-03-31;3147;true;true
8;police commissionnaire tellement;équipe que;2026-03-31;17302;false;true
9;encore prout;vu que durant;2026-03-30;26218;false;true
10;vlan vlan innombrable;désigner miaou exciter;2026-03-31;21403;false;false
