id;param_key;param_label;numeric_value;text_value;effective_from;effective_to;legal_reference;active
1;personnel;miam du fait que raide;14004.63;secours hors soudain;2026-03-31;2026-03-31;lâche;false
2;à l'insu de;sitôt que recta à raison de;7446.85;égoïste quant à vraisemblablement;2026-03-30;2026-03-30;intéresser mince;true
3;ah former autrefois;sus vu que;18858.61;âcre afin de;2026-03-31;2026-03-31;via au point que ouf;false
4;au point que ferme;innombrable glouglou;27990.03;touchant drelin groin groin;2026-03-30;2026-03-30;hôte électorat depuis;true
5;toc dater de;au-dessous orange ha ha;26396.94;diplomate prétendre à force de;2026-03-31;2026-03-31;de façon à ce que drôlement;false
6;police;cadre d'entre;14609.84;toc;2026-03-31;2026-03-30;jusque fourbe administration;true
7;blablabla au défaut de;concurrence;24245.34;presque;2026-03-31;2026-03-31;bien que;false
8;corps enseignant totalement crac;porte-parole;16037.49;délectable;2026-03-31;2026-03-31;propre avex ci;true
9;main-d’œuvre commis dedans;jeune communauté étudiante membre à vie;19920.11;loin de;2026-03-30;2026-03-31;quoique intrépide;false
10;badaboum;brave patientèle présidence;23978.59;joliment;2026-03-31;2026-03-31;sus;true
