id;year;min_income;max_income;rate;fixed_deduction;sort_order
1;8008;6412.22;14161.64;2362.45;4703.16;7953
2;31136;7447.41;7853;28797.52;7554.66;21710
3;5304;14252.98;29436.26;8742.56;2335.24;11290
4;29025;23261.46;20877.82;24230.26;17162.29;458
5;3928;7592.55;14622.33;19667.93;20937.02;28081
6;18678;10505.49;18645.26;14683.66;20214.85;22522
7;11784;28607.65;12975.61;11201.89;1521.81;28644
8;17496;24716.71;10098.84;5200.06;31740.53;19723
9;21351;26594.3;29357.22;2381.28;18141.86;10920
10;18485;20593.76;1934.4;1321.28;22866.6;30983
