id;entry_date;check_in;check_out;worked_hours;overtime_hours;late_minutes;source;status;anomaly_note;validated_by;validated_at;employee_id
1;2026-03-30;2026-03-31T03:05:20;2026-03-31T04:36:47;10537.54;4402.41;18744;IMPORT;ANOMALY;moderne pourpre;virer afin que paf;2026-03-31T04:25:21;1
2;2026-03-30;2026-03-31T09:53:59;2026-03-31T08:03:07;11845.36;17403.14;10566;IMPORT;ANOMALY;là-haut probablement adversaire;main-d’œuvre miaou que;2026-03-30T22:44:18;2
3;2026-03-30;2026-03-31T16:59:34;2026-03-30T20:01:27;16969.62;26982.6;18442;MANUAL;CORRECTED;meuh oh selon;de peur de oups;2026-03-31T12:04:29;3
4;2026-03-31;2026-03-31T16:27:58;2026-03-30T21:50:25;7703.8;787.35;21956;IMPORT;CORRECTED;obliger;de façon que longtemps redouter;2026-03-31T10:59:55;4
5;2026-03-30;2026-03-31T02:47:37;2026-03-31T08:36:53;727.97;8486.37;29025;CHATBOT;CORRECTED;blême pourpre chut;achever;2026-03-31T11:53:59;5
6;2026-03-31;2026-03-31T05:26:48;2026-03-31T10:07:49;22865.06;7677.64;9299;MANUAL;ANOMALY;après que ronron dès que;tant que de sorte que soupçonner;2026-03-31T10:49:04;6
7;2026-03-31;2026-03-30T21:41:47;2026-03-30T21:35:04;12951.12;4389.76;15518;IMPORT;PENDING;population du Québec de façon à ce que;chut géométrique à l'instar de;2026-03-31T07:20:27;7
8;2026-03-31;2026-03-31T13:58:28;2026-03-31T08:33:10;12455.24;6579.94;28723;IMPORT;ANOMALY;à condition que puis;vraisemblablement;2026-03-31T08:27:12;8
9;2026-03-31;2026-03-31T09:29:44;2026-03-31T02:37:35;4698.29;508.1;27981;IMPORT;VALIDATED;coin-coin mieux;à moins de;2026-03-31T13:56:40;9
10;2026-03-31;2026-03-31T06:53:16;2026-03-31T06:19:37;12993.31;6413.33;6952;BADGE;VALIDATED;atchoum;ouch cuicui électorat;2026-03-31T11:32:29;10
